"ID","District ID","District Name","State Name","REGION","School Type","Start of Year Status","Equal Mix schools","Majority Non-White schools","Majority White schools","NA schools","TOTAL schools","Percent Equal Mix schools","Percent Majority Non-White schools","Percent Majority White schools","Percent NA schools","Total students","Size_DESC","White_students","Non-White_students","Percent White_students","Percent Non-White students","DISNDX","DISNDX_DESC"
1.00,"0100005","Albertville City","Alabama","South Region","1-Regular school","1-Open",0.00,6.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,5900.00,"1,000 - 10,000 students",2102.00,3798.00,0.35,0.64,2.89,"Less than 10"
2.00,"0100006","Marshall County","Alabama","South Region","1-Regular school","1-Open",0.00,2.00,10.00,1.00,13.00,0.00,0.15,0.76,0.07,5951.00,"1,000 - 10,000 students",4039.00,1912.00,0.67,0.32,41.76,"25.1 - 50"
3.00,"0100007","Hoover City","Alabama","South Region","1-Regular school","1-Open",0.00,3.00,13.00,0.00,16.00,0.00,0.18,0.81,0.00,13557.00,"10,001 - 50,000 students",7513.00,6044.00,0.55,0.44,12.05,"10 - 25"
4.00,"0100008","Madison City","Alabama","South Region","1-Regular school","1-Open",0.00,0.00,11.00,0.00,11.00,0.00,0.00,1.00,0.00,12473.00,"10,001 - 50,000 students",7068.00,5405.00,0.56,0.43,1.92,"Less than 10"
5.00,"0100011","Leeds City","Alabama","South Region","1-Regular school","1-Open",0.00,0.00,4.00,0.00,4.00,0.00,0.00,1.00,0.00,2223.00,"1,000 - 10,000 students",1262.00,961.00,0.56,0.43,2.52,"Less than 10"
6.00,"0100012","Boaz City","Alabama","South Region","1-Regular school","1-Open",0.00,1.00,4.00,0.00,5.00,0.00,0.20,0.80,0.00,2471.00,"1,000 - 10,000 students",1253.00,1218.00,0.50,0.49,4.83,"Less than 10"
7.00,"0100013","Trussville City","Alabama","South Region","1-Regular school","1-Open",0.00,0.00,5.00,0.00,5.00,0.00,0.00,1.00,0.00,5065.00,"1,000 - 10,000 students",3809.00,1256.00,0.75,0.24,5.85,"Less than 10"
8.00,"0100030","Alexander City","Alabama","South Region","1-Regular school","1-Open",0.00,5.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,2899.00,"1,000 - 10,000 students",1277.00,1622.00,0.44,0.55,5.75,"Less than 10"
9.00,"0100060","Andalusia City","Alabama","South Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,1871.00,"1,000 - 10,000 students",1179.00,692.00,0.63,0.36,4.23,"Less than 10"
10.00,"0100090","Anniston City","Alabama","South Region","1-Regular school","1-Open",0.00,5.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,1892.00,"1,000 - 10,000 students",109.00,1783.00,0.05,0.94,18.01,"10 - 25"
