"ID","SCHOOL_YEAR","LEAID","District","STATE","REGION","Primary County FIPS","Primary County Name","Majority White schools","Majority Non-White schools","Equal Mix schools","NA schools","Total Schools","Percent majority White schools","Percent majority non-White schools","Percent equal mix schools","White students","Non-White students","TOTAL STUDENTS","Percent White students","Percent non-White students","DISTSIZE_DESC","Dissimilarity Index","DISNDX_DESC"
1.00,"2023-2024","0000000","  NATION",,,"00000",,47621.00,49620.00,270.00,2771.00,100282.00,0.47,0.49,2.6924074111007e-03,43260375.00,56895755.00,100156130.00,0.43,0.56,,,
2.00,"2023-2024","0100005","Albertville City","Alabama","South","01095","Marshall County",0.00,6.00,0.00,0.00,6.00,0.00,1.00,0.00,3772.00,7870.00,11642.00,0.32,0.67,"10,001 - 50,000",3.60,"Less than 10"
3.00,"2023-2024","0100006","Marshall County","Alabama","South","01095","Marshall County",10.00,2.00,0.00,3.00,15.00,0.66,0.13,0.00,7992.00,4088.00,12080.00,0.66,0.33,"10,001 - 50,000",41.73,"25.01 - 50"
4.00,"2023-2024","0100007","Hoover City","Alabama","South","01073","Jefferson County",12.00,4.00,0.00,1.00,17.00,0.70,0.23,0.00,14724.00,12324.00,27048.00,0.54,0.45,"10,001 - 50,000",10.58,"10 - 25"
5.00,"2023-2024","0100008","Madison City","Alabama","South","01089","Madison County",11.00,1.00,1.00,0.00,13.00,0.84,0.07,0.07,14086.00,11386.00,25472.00,0.55,0.44,"10,001 - 50,000",4.95,"Less than 10"
6.00,"2023-2024","0100009","Al Inst Deaf And Blind","Alabama","South","01121","Talladega County",0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"NA",,"NA"
7.00,"2023-2024","0100011","Leeds City","Alabama","South","01073","Jefferson County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,2510.00,1978.00,4488.00,0.55,0.44,"1,000 - 10,000",0.39,"Less than 10"
8.00,"2023-2024","0100012","Boaz City","Alabama","South","01095","Marshall County",1.00,4.00,0.00,0.00,5.00,0.20,0.80,0.00,2428.00,2680.00,5108.00,0.47,0.52,"1,000 - 10,000",6.06,"Less than 10"
9.00,"2023-2024","0100013","Trussville City","Alabama","South","01073","Jefferson County",5.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,7514.00,2510.00,10024.00,0.74,0.25,"10,001 - 50,000",6.57,"Less than 10"
10.00,"2023-2024","0100030","Alexander City","Alabama","South","01123","Tallapoosa County",0.00,5.00,0.00,0.00,5.00,0.00,1.00,0.00,2384.00,3314.00,5698.00,0.41,0.58,"1,000 - 10,000",4.18,"Less than 10"
11.00,"2023-2024","0100060","Andalusia City","Alabama","South","01039","Covington County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,2396.00,1372.00,3768.00,0.63,0.36,"1,000 - 10,000",5.18,"Less than 10"
12.00,"2023-2024","0100090","Anniston City","Alabama","South","01015","Calhoun County",0.00,5.00,0.00,1.00,6.00,0.00,0.83,0.00,178.00,3640.00,3818.00,0.04,0.95,"1,000 - 10,000",17.87,"10 - 25"
13.00,"2023-2024","0100100","Arab City","Alabama","South","01095","Marshall County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,4870.00,404.00,5274.00,0.92,0.07,"1,000 - 10,000",5.71,"Less than 10"
14.00,"2023-2024","0100120","Athens City","Alabama","South","01083","Limestone County",5.00,3.00,0.00,0.00,8.00,0.62,0.37,0.00,5560.00,4508.00,10068.00,0.55,0.44,"10,001 - 50,000",19.14,"10 - 25"
